date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:38	9948/9948	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202021%2008:41:21%20GMT	http://snt2021.ostralo.net/t7_photo_numerique/7.1_qu_est_ce_qu_un_pixel.htm	C:/Mes%20Sites%20Web/SNT/pixel/snt2021.ostralo.net/t7_photo_numerique/7.1_qu_est_ce_qu_un_pixel.html	(from )
15:44:38	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Apr%202022%2013:44:36%20GMT	http://snt2021.ostralo.net/robots.txt		(from )
15:44:39	1423/1423	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Dec%202021%2008:40:07%20GMT	http://snt2021.ostralo.net/commun/styles_structure.css	C:/Mes%20Sites%20Web/SNT/pixel/snt2021.ostralo.net/commun/styles_structure.css	(from http://snt2021.ostralo.net/t7_photo_numerique/7.1_qu_est_ce_qu_un_pixel.htm)
15:44:39	2520/2520	---M--	200	added ('OK')	text/css	date:Sun,%2017%20Apr%202022%2018:13:18%20GMT	http://snt2021.ostralo.net/commun/styles_activite_commun.css	C:/Mes%20Sites%20Web/SNT/pixel/snt2021.ostralo.net/commun/styles_activite_commun.css	(from http://snt2021.ostralo.net/t7_photo_numerique/7.1_qu_est_ce_qu_un_pixel.htm)
15:44:39	1376/1376	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:45:27%20GMT	http://snt2021.ostralo.net/t7_photo_numerique/index.htm	C:/Mes%20Sites%20Web/SNT/pixel/snt2021.ostralo.net/t7_photo_numerique/index.html	(from http://snt2021.ostralo.net/t7_photo_numerique/7.1_qu_est_ce_qu_un_pixel.htm)
15:44:40	4021/4021	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:06:10%20GMT	http://snt2021.ostralo.net/t7_photo_numerique/page_couleurs.htm	C:/Mes%20Sites%20Web/SNT/pixel/snt2021.ostralo.net/t7_photo_numerique/page_couleurs.html	(from http://snt2021.ostralo.net/t7_photo_numerique/7.1_qu_est_ce_qu_un_pixel.htm)
15:44:40	4475/4475	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Sep%202021%2011:45:49%20GMT	http://snt2021.ostralo.net/t7_photo_numerique/page_hexadecimal.htm	C:/Mes%20Sites%20Web/SNT/pixel/snt2021.ostralo.net/t7_photo_numerique/page_hexadecimal.html	(from http://snt2021.ostralo.net/t7_photo_numerique/7.1_qu_est_ce_qu_un_pixel.htm)
15:44:40	17923/17923	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Sep%202021%2006:31:40%20GMT	http://snt2021.ostralo.net/t7_photo_numerique/images/microscope.png	C:/Mes%20Sites%20Web/SNT/pixel/snt2021.ostralo.net/t7_photo_numerique/images/microscope.png	(from http://snt2021.ostralo.net/t7_photo_numerique/7.1_qu_est_ce_qu_un_pixel.htm)
15:44:40	6381/6381	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2023%20Oct%202021%2006:55:01%20GMT	http://snt2021.ostralo.net/commun/icone_histoire.svg	C:/Mes%20Sites%20Web/SNT/pixel/snt2021.ostralo.net/commun/icone_histoire.svg	(from http://snt2021.ostralo.net/commun/styles_structure.css)
15:44:42	17602/17602	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Sep%202021%2012:35:04%20GMT	http://snt2021.ostralo.net/commun/icone_ordinateur.png	C:/Mes%20Sites%20Web/SNT/pixel/snt2021.ostralo.net/commun/icone_ordinateur.png	(from http://snt2021.ostralo.net/commun/styles_activite_commun.css)
15:44:44	21650/21650	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Sep%202021%2012:18:59%20GMT	http://snt2021.ostralo.net/commun/icone_crayon.png	C:/Mes%20Sites%20Web/SNT/pixel/snt2021.ostralo.net/commun/icone_crayon.png	(from http://snt2021.ostralo.net/commun/styles_activite_commun.css)
15:44:44	16635/16635	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Sep%202021%2008:43:08%20GMT	http://snt2021.ostralo.net/commun/icone_documents.png	C:/Mes%20Sites%20Web/SNT/pixel/snt2021.ostralo.net/commun/icone_documents.png	(from http://snt2021.ostralo.net/commun/styles_activite_commun.css)
15:44:44	16638/16638	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Sep%202021%2008:49:12%20GMT	http://snt2021.ostralo.net/commun/icone_documents_rouge.png	C:/Mes%20Sites%20Web/SNT/pixel/snt2021.ostralo.net/commun/icone_documents_rouge.png	(from http://snt2021.ostralo.net/commun/styles_activite_commun.css)
